Time (uS) - Plot 0,Amplitude - Plot 0
41000,4.74E+05
41033,7.74E+05
41067,1.00E+06
41100,1.00E+06
41133,1.00E+06
41167,2.00E+06
41200,2.00E+06
41233,2.00E+06
41267,2.00E+06
41300,8.00E+07
41333,-1.58E+05
41367,-1.00E+06
41400,-1.00E+06
41433,-1.00E+06
41467,-1.00E+06
41500,-9.58E+05
41533,-7.65E+05
41567,-5.36E+05
41600,-2.90E+05
41633,-1.70E+04
41667,2.02E+05
41700,4.98E+05
41733,8.04E+05
41767,1.00E+06
41800,1.00E+06
41833,1.00E+06
41867,2.00E+06
41900,2.00E+06
41933,2.00E+06
41967,2.00E+06
42000,2.00E+06
42033,2.00E+06
42067,2.00E+06
42100,2.00E+06
42133,2.00E+06
42167,1.00E+06
42200,1.00E+06
42233,8.42E+05
42267,5.61E+05
42300,2.21E+05
42333,-1.01E+05
42367,-4.02E+05
42400,-7.02E+05
42433,-1.00E+06
42467,-1.00E+06
42500,-2.00E+06
42533,-2.00E+06
42567,-2.00E+06
42600,-2.00E+06
42633,-2.00E+06
42667,-2.00E+06
42700,-2.00E+06
42733,-2.00E+06
42767,-2.00E+06
42800,-2.00E+06
42833,-2.00E+06
42867,-1.00E+06
42900,-1.00E+06
42933,-7.50E+05
42967,-3.37E+05
43000,8.60E+04
43033,5.22E+05
43067,9.25E+05
43100,1.00E+06
43133,2.00E+06
43167,2.00E+06
43200,2.00E+06
43233,3.00E+06
43267,3.00E+06
43300,3.00E+06
43333,3.00E+06
43367,3.00E+06
43400,3.00E+06
43433,3.00E+06
43467,2.00E+06
43500,2.00E+06
43533,2.00E+06
43567,1.00E+06
43600,8.12E+05
43633,2.91E+05
43667,-2.01E+05
43700,-7.14E+05
43733,-1.00E+06
43767,-2.00E+06
43800,-2.00E+06
43833,-3.00E+06
43867,-3.00E+06
43900,-3.00E+06
43933,-4.00E+06
43967,-4.00E+06
44000,-4.00E+06
44033,-4.00E+06
44067,-4.00E+06
44100,-3.00E+06
